ID,Type,SKU,Name,Published,Short description,Description,Regular price,Sale price,Stock,Manage stock?,Categories,Tags,Images
47188,simple,47188,"Iluminador Líquido Illuskin THE ONE",1,"Iluminador líquido versátil para un brillo natural o intenso.","Iluminador líquido versátil para un brillo natural o intenso. Mezclable y modulable.",20,8.46,50,1,makeup,"NOVEDAD",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F47188%2F47188_1.png
46134,simple,46134,"BB Cream Beautifier MAX SPF 15 THE ONE",1,"BB Cream multifuncional que hidrata, corrige y protege.","BB Cream multifuncional que hidrata, corrige y protege. Acabado natural.",17,5.77,289,1,makeup,"NOVEDAD",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F46134%2F46134_1.png
46901,simple,46901,"Perlas con Serum Giordani Gold - Edición Especial",1,"Perlas bronceadoras infusionadas con serum antiedad.","Perlas bronceadoras infusionadas con serum antiedad. Edición limitada.",35,16.93,50,1,makeup,"NOVEDAD",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F46901%2F46901_1.png
46940,simple,46940,"Stick Iluminador con Color THE ONE",1,"Iluminador en barra fácil de aplicar para un brillo radiante al instante.","Iluminador en barra fácil de aplicar para un brillo radiante al instante.",22,7.69,80,1,makeup,"NOVEDAD",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F46940%2F46940_1.png
46906,simple,46906,"Maquillaje Stress-Free Everlasting Sync SPF 20 + Protección UVA Natural THE ONE",1,"Base de maquillaje inteligente que se adapta a tu piel y al entorno.","Base de maquillaje inteligente que se adapta a tu piel y al entorno.",20,8.46,75,1,makeup,"NOVEDAD",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F46906%2F46906_1.png
42121,simple,42121,"Paleta de Ojos y Rostro Fabulous Beauty Giordani Gold",1,"Paleta todo en uno de lujo para ojos y rostro.","Paleta todo en uno de lujo para ojos y rostro. Pigmentación intensa y sedosa.",42,19.24,40,1,makeup,"OFERTA",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F42121%2F42121_1.png
42102,simple,42102,"Maquillaje Mineral de Larga Duración SPF 20 Giordani Gold",1,"Base mineral de larga duración con cobertura completa y acabado luminoso.","Base mineral de larga duración con cobertura completa y acabado luminoso.",31,13.08,60,1,makeup,"OFERTA",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F42102%2F42102_1.png
41107,simple,41107,"Corrector y Serum Potenciador Giordani Gold",1,"Corrector que borra imperfecciones mientras trata la piel con su serum.","Corrector que borra imperfecciones mientras trata la piel con su serum.",24,8.46,50,1,makeup,"OFERTA",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F41107%2FES%2F41107_1.png
47847,simple,47847,"Lote Ritual de Cuidado de la Piel Wellosophy",1,"Rutina completa para el bienestar de tu piel desde el interior y el exterior.","Rutina completa para el bienestar de tu piel desde el interior y el exterior.",101,53.89,62,1,wellness,"SET",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F47847%2F47847_1.png
47785,simple,47785,"Lote Antioxidante Wellosophy",1,"Protección antioxidante avanzada para combatir los radicales libres.","Protección antioxidante avanzada para combatir los radicales libres.",102.41,,16,1,wellness,"SET",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F47785%2F47785_1.png
46319,simple,46319,"Niacinamida 10% Power Drops Proceuticals Novage+",1,"Potenciador con Niacinamida para fortalecer la barrera cutánea.","Potenciador con Niacinamida para fortalecer la barrera cutánea y mejorar la textura.",57,26.94,160,1,skincare,"NOVEDAD",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F46319%2F46319_1.png
